tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,59694.47952549998,1940479520715015052,2,1940479520715,19.8673,1,1940,0.310972,16.8714,16.9191,0.170227,0.0361,290.580887,15.4578048,0.274286,,16.7437,0.0362,,False,True,True,correction_1.0.6,0.0,1.946424005715015e+18,13.377633,100.0,0.00681587,t17_f5_c3,ZTF18aaxypqy
ztf,59700.42400459992,1946424005715015001,2,1946424005715,20.117966,1,1946,1.0928284,16.805891,17.045,0.13767672,0.0412,290.5808709,15.4575706,0.36142856,0.0328702,16.9885,0.0423,540120257.0,True,True,True,correction_1.0.6,0.0,,13.381635,100.0,0.00587703,t17_f5_c3,ZTF18aaxypqy
ztf,59711.45710649993,1957457105715015000,2,1957457105715,20.2421,1,1957,0.661489,16.6806,17.0481,0.157977,0.0405,290.5809074,15.4577307,0.394286,,17.0329,0.0429,,False,True,False,1.1.2,0.0,1.985421855715015e+18,13.37598,100.0,0.0075291554,t17_f5_c3,ZTF18aaxypqy
ztf,59739.42185189994,1985421855715015001,2,1985421855715,20.724781,1,1985,0.8343174,16.108261,16.3666,0.12596296,0.0207,290.5808452,15.4576383,0.4457143,0.02505103,16.3735,0.0217,540120257.0,True,True,False,1.1.2,0.0,,13.340646,100.0,0.009844565,t17_f5_c3,ZTF18aaxypqy
ztf,60193.234895799775,2439234890715015033,1,2439234890715,20.8036,1,2439,1.03604,18.3785,17.9744,0.172078,0.0451,290.5807307,15.4575618,0.262857,,17.9533,0.0495,,False,True,False,1.2.1,0.0,2.444354005715015e+18,15.067308,100.0,0.008151707,t17_f5_c3,ZTF18aaxypqy
ztf,60193.2660069,2439266000715015028,2,2439266000715,20.6157,1,2439,0.845732,16.5025,16.2742,0.252517,0.019,290.5807693,15.4576195,0.368571,,16.2254,0.0192,,False,True,False,1.2.1,0.0,2.444354005715015e+18,13.360184,100.0,0.01397539,t17_f5_c3,ZTF18aaxypqy
ztf,60198.354004600085,2444354005715015001,1,2444354005715,19.6703,1,2444,1.5948474,18.395761,18.3795,0.15422365,0.1126,290.58092,15.457433,0.41714287,0.0931564,18.4226,0.1419,540120157.0,True,False,True,1.2.1,0.0,,,,,t17_f5_c3,ZTF18aaxypqy
ztf,60363.54350689985,2609543505715015008,2,2609543505715,16.529682,1,2609,0.93569344,15.956208,16.0352,0.15872133,0.1787,290.5808588,15.4576153,0.45285714,0.06257722,16.0222,0.2251,540120257.0,True,True,True,23.12.x,0.0,,13.327964,100.0,0.014103843,t17_f5_c3,ZTF18aaxypqy
ztf,60479.34035879979,2725340350715015033,2,2725340350715,20.3339,1,2725,0.625891,16.5663,16.3575,0.202251,0.0209,290.5808244,15.4576782,0.292857,,16.2247,0.0203,,False,True,True,24.5.1,0.0,2.727339750715025e+18,13.363618,100.0,0.010588105,t17_f5_c3,ZTF18aaxypqy
ztf,60479.42385420017,2725423850715015043,1,2725423850715,20.5884,1,2725,1.3349,18.8809,18.4178,0.156721,0.0673,290.5809216,15.4574901,0.237143,,18.283,0.0687,,False,True,False,24.5.1,0.0,2.727339750715025e+18,15.08653,100.0,0.0047575072,t17_f5_c3,ZTF18aaxypqy
ztf,60481.33975689998,2727339750715015024,2,2727339750715,20.077675,1,2727,1.0747383,16.589035,16.2456,0.18160708,0.0203,290.5808727,15.4575559,0.31,0.40047812,16.1769,0.0213,590120207.0,True,True,True,24.5.1,0.0,,13.364797,100.0,0.009320463,t17_f5_c3,ZTF18aaxypqy
ztf,60481.33975689998,2727339750715025026,2,2727339750715,20.076612,1,2727,1.0919795,16.302715,16.2713,0.03169854,0.0208,290.5808749,15.4575513,0.35714287,0.34106314,16.2035,0.0218,590120207.0,True,True,True,24.5.1,0.0,,13.348111,100.0,0.00208544,t17_f5_c3,ZTF18aaxypqy
