tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58954.48712959979,1200487122615015022,2,1200487122615,20.181208,1,1200,2.2779863,18.314508,18.5066,0.080726184,0.0941,296.2029674,31.6678266,0.7442857,0.99774873,18.4981,0.1165,686120226.0,False,False,False,bulk_1.0.0,0.0,1.226432712615015e+18,t17_f5_c3,ZTF18aayhtxj
ztf,58980.43271989981,1226432712615015007,1,1226432712615,19.770294,1,1226,2.445201,18.913065,18.6891,0.1373888,0.1304,296.203073,31.6677958,0.63857144,0.9587293,18.4654,0.1352,686120126.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18aayhtxj
ztf,59051.3723726999,1297372372615015021,2,1297372372615,20.673,1,1297,2.35771,18.8941,19.0518,0.225647,0.112,296.2030304,31.6677916,0.364286,,18.6163,0.0916,,False,False,False,bulk_1.0.0,0.0,1.311337012615015e+18,t17_f5_c3,ZTF18aayhtxj
ztf,59065.337013899814,1311337012615015020,2,1311337012615,19.547195,1,1311,2.3437412,18.287968,18.6004,0.101254,0.1746,296.2030136,31.6678061,0.63714284,0.13616017,18.723,0.2485,686120226.0,False,False,False,bulk_1.0.0,0.0,1.311379452615015e+18,t17_f5_c3,ZTF18aayhtxj
ztf,59065.37945599994,1311379452615015024,2,1311379452615,19.50042,1,1311,2.3751738,18.363762,18.4624,0.14596057,0.1583,296.2030016,31.6678369,0.64428574,0.00028297,18.4045,0.1908,686120226.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18aayhtxj
ztf,59119.183530100156,1365183532615015017,2,1365183532615,20.316427,1,1365,2.4384944,18.608677,18.5715,0.15771493,0.0943,296.2029951,31.6678668,0.4457143,2.226e-05,18.2468,0.0872,686120226.0,False,False,False,bulk_1.0.0,0.0,1.365268592615015e+18,t17_f5_c3,ZTF18aayhtxj
ztf,59119.26859949995,1365268592615015023,1,1365268592615,20.138548,1,1365,2.4690807,18.832228,19.0813,0.14901593,0.1465,296.2030694,31.667809,0.7271429,0.9997872,18.9267,0.1607,686120126.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18aayhtxj
ztf,59184.10381940007,1430103812615015022,2,1430103812615,19.974916,1,1430,2.4615078,18.789179,19.5291,0.1400483,0.3007,296.2030215,31.6678512,0.41857144,0.0,19.4494,0.3527,686120226.0,False,False,False,bulk_1.0.0,0.0,1.4411009026150152e+18,t17_f5_c3,ZTF18aayhtxj
ztf,59195.10090279998,1441100902615015188,2,1441100902615,19.199661,1,1441,2.2271993,18.14655,18.217,0.104804434,0.1181,296.2029646,31.6678044,0.47285715,0.99995434,18.2629,0.1563,686120226.0,True,False,False,bulk_1.0.0,0.0,0.0,t17_f5_c3,ZTF18aayhtxj
ztf,59252.54827550007,1498548272615015028,2,1498548272615,20.092655,1,1498,2.3706515,18.933338,19.1426,0.15221536,0.1868,296.2030197,31.6678194,0.41142857,6e-08,18.8137,0.1728,686120226.0,True,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,59252.55122689996,1498551222615015033,2,1498551222615,20.12228,1,1498,2.37,18.950188,19.3967,0.13085985,0.2309,296.2030006,31.6678321,0.48,0.00278628,18.9131,0.1854,686120226.0,True,False,False,correction_0.0.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,59476.30005790014,1722300052615015027,2,1722300052615,19.774164,1,1722,2.4042306,18.894411,18.7393,0.18320766,0.1691,296.203022,31.6678309,0.4457143,0.0,18.4899,0.1704,686120226.0,True,False,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,59673.47565970011,1919475652615015019,1,1919475652615,19.8768,1,1919,2.25275,18.6402,18.1694,0.128007,0.0621,296.2030495,31.6677217,0.271429,,17.9324,0.063,,False,False,False,correction_1.0.6,0.0,1.9194961226150152e+18,t17_f5_c3,ZTF18aayhtxj
ztf,59673.49612270016,1919496122615015152,2,1919496122615,19.78955,1,1919,1.6173623,18.047539,17.6571,0.14455406,0.0486,296.202787,31.6677217,0.4242857,0.76350766,17.4472,0.0504,686120226.0,True,False,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,59673.49612270016,1919496122615015218,2,1919496122615,19.78955,1,1919,1.62615,17.751806,17.6362,0.058025647,0.0481,296.202797,31.6677149,0.48,0.76350766,17.3991,0.0483,686120226.0,True,False,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,59901.13978009997,2147139782615015016,2,2147139782615,19.251324,1,2147,2.3825688,18.1591,18.3207,0.1319321,0.1914,296.2030156,31.6678245,0.51,0.0,18.1561,0.2091,686120226.0,True,False,False,1.1.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60021.48699070001,2267486992615015040,2,2267486992615,19.827261,1,2267,2.196337,18.209745,18.4201,0.09154308,0.1038,296.2029288,31.6678311,0.60142857,0.99779475,18.4175,0.1301,686120226.0,True,False,False,1.1.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60032.43208329985,2278432082615015046,2,2278432082615,19.961348,1,2278,2.1781197,18.463713,18.697,0.12752737,0.1236,296.2029407,31.6678133,0.5657143,0.99999845,18.8182,0.173,686120226.0,True,False,False,1.1.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60255.14253470022,2501142532615015036,2,2501142532615,20.59752,1,2501,2.6526675,19.332949,19.7797,0.18069327,0.229,296.2030556,31.6679017,0.41714287,0.0,19.0874,0.1498,686120226.0,True,False,False,1.2.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60387.47796300007,2633477962615015026,1,2633477962615,19.887482,1,2633,2.297165,18.874466,19.0612,0.12812482,0.1547,296.2029933,31.6678261,0.67714286,0.9999994,19.1529,0.2135,686120126.0,True,False,False,23.12.x,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60396.49664349994,2642496642615015030,2,2642496642615,19.539772,1,2642,2.0692637,18.595842,18.5269,0.14822151,0.1517,296.2029638,31.6677294,0.49571428,0.9998217,18.3888,0.1695,686120226.0,True,False,False,23.12.x,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60396.49664349994,2642496642615025030,2,2642496642615,19.5398,1,2642,2.06926,18.5958,18.5269,0.148222,0.1517,296.2029638,31.6677294,0.495714,,18.3888,0.1695,,False,False,False,24.4.1,0.0,2.666453032615015e+18,t17_f5_c3,ZTF18aayhtxj
ztf,60420.403472200036,2666403472615015019,2,2666403472615,20.053854,1,2666,2.411196,18.278753,18.4647,0.06196653,0.1052,296.2029963,31.667853,0.8157143,0.98227715,18.5186,0.1385,686120226.0,True,False,False,24.4.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60420.45303239999,2666453032615015035,1,2666453032615,20.148111,1,2666,2.369137,18.750845,18.8881,0.0957478,0.1196,296.2030226,31.6678244,0.81714284,1.0,18.8408,0.1448,686120126.0,True,False,False,24.4.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60456.38771989988,2702387712615015016,2,2702387712615,20.300005,1,2702,2.508461,18.52266,18.8803,0.08936444,0.128,296.2030339,31.6678597,0.65,0.00361085,18.7868,0.1462,686120226.0,True,False,False,24.4.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60456.435601899866,2702435602615015030,1,2702435602615,20.12197,1,2702,2.337606,18.892721,19.1464,0.1439174,0.1575,296.2030208,31.6678149,0.7,0.9999999,19.3425,0.2389,686120126.0,True,False,False,24.4.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60511.416134300176,2757416132615015020,1,2757416132615,19.517721,1,2757,2.4499533,19.173853,19.2538,0.21570694,0.2922,296.203028,31.6678579,0.5814286,0.9999951,18.6799,0.2204,686120126.0,True,False,False,24.5.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60551.245474500116,2797245472615015028,2,2797245472615,20.560904,1,2797,2.4769735,18.47563,18.8299,0.08899294,0.098,296.203016,31.6678636,0.63714284,0.8018398,18.8287,0.1203,686120226.0,True,False,False,24.5.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60606.180763899814,2852180762615015043,1,2852180762615,20.630846,1,2852,2.4103885,18.435343,18.5368,0.08399357,0.0599,296.2030472,31.6678189,0.78571427,0.99999994,18.4402,0.0677,686120126.0,True,False,False,24.5.1,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60632.12533560023,2878125332615015026,1,2878125332615,19.802578,1,2878,2.4758463,18.938421,18.9052,0.11306159,0.1653,296.2030439,31.6678529,0.75285715,0.99999994,19.0609,0.2426,686120126.0,True,False,False,25.0.0,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60840.34009259986,3086340092615015023,2,3086340092615,20.065523,1,3086,2.4350963,18.181316,18.1711,0.10744588,0.079,296.2030292,31.6678259,0.61,0.0,17.955,0.0812,686120226.0,True,False,False,27.5.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60843.298692100216,3089298692615015029,1,3089298692615,20.207544,1,3089,2.3435013,17.450687,17.3997,0.055867687,0.0288,296.2030255,31.6678097,0.7814286,0.9999926,17.3093,0.033,686120126.0,True,False,False,27.5.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60843.3837731001,3089383772615015027,2,3089383772615,20.504171,1,3089,2.3972726,17.254005,17.288,0.06920036,0.0261,296.2030102,31.6678326,0.67,0.00045735,17.1615,0.0283,686120226.0,True,False,False,27.5.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60847.327384300064,3093327382615015024,2,3093327382615,20.456163,1,3093,2.4500933,18.16019,18.2756,0.0643447,0.0629,296.2030198,31.6678512,0.78571427,0.82336444,18.1109,0.0664,686120226.0,True,False,False,27.5.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60847.3686573999,3093368652615015017,1,3093368652615,20.450188,1,3093,2.515337,18.150642,18.0824,0.055897303,0.0427,296.2030836,31.6678185,0.74857146,0.9999994,17.9438,0.0466,686120126.0,True,False,False,27.5.6,0.0,,t17_f5_c3,ZTF18aayhtxj
ztf,60849.28597219987,3095285972615015035,2,3095285972615,20.513117,1,3095,2.3669844,18.288889,18.8006,0.094949625,0.1002,296.2030021,31.6678302,0.4842857,3.22e-06,18.8326,0.1266,686120226.0,True,False,False,27.5.6,0.0,,t17_f5_c3,ZTF18aayhtxj
