tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,60353.53583330009,2599535832615015002,2,2599535832615,20.32664,1,2599,1.0060991,16.179762,15.7866,0.13938081,0.0116,269.3916397,10.709072,0.4157143,t17_f5_c3,15.7669,0.0124,True,True,False,23.12.x,0.0,,13.671518,100.0,0.013832655,0.7116047,537120226.0,ZTF19aadyxsh
ztf,60355.52702549985,2601527022615015001,1,2601527022615,20.092701,1,2601,0.9340878,18.413403,18.3356,0.11160954,0.0678,269.3916214,10.709089,0.55714285,t17_f5_c3,18.2719,0.0792,True,True,True,23.12.x,0.0,,16.333126,100.0,0.016428232,0.99974567,537120126.0,ZTF19aadyxsh
ztf,60355.52702549985,2601527022615015002,1,2601527022615,20.092701,1,2601,0.9359905,18.210333,18.2308,0.06903852,0.0622,269.3916307,10.7091249,0.8157143,t17_f5_c3,18.25,0.0781,True,True,True,23.12.x,0.0,,16.300745,100.0,0.011892044,0.99974567,537120126.0,ZTF19aadyxsh
ztf,60387.50336810015,2633503362615015004,2,2633503362615,19.777817,1,2633,0.9215103,15.733624,15.6485,0.0705289,0.0112,269.3916094,10.7090582,0.63714284,t17_f5_c3,15.5598,0.0118,True,True,False,23.12.x,0.0,,13.618096,100.0,0.010049761,0.9763719,537120226.0,ZTF19aadyxsh
ztf,60389.44652780006,2635446522615015000,1,2635446522615,19.644123,1,2635,1.3396525,18.016447,17.8703,0.12092277,0.0675,269.3917201,10.7090211,0.54714286,t17_f5_c3,17.8726,0.0852,True,True,True,23.12.x,0.0,,16.264782,0.015528133,0.024090307,0.9386418,537120126.0,ZTF19aadyxsh
ztf,60389.44652780006,2635446522615015001,1,2635446522615,19.644123,1,2635,1.5919663,17.944658,18.1245,0.07515553,0.0851,269.3918001,10.709029,0.7985714,t17_f5_c3,18.0882,0.1039,True,False,False,23.12.x,0.0,,,,,0.9386418,537120126.0,ZTF19aadyxsh
ztf,60389.53098380007,2635530982615015002,2,2635530982615,20.405,1,2635,0.448545,15.9768,15.5716,0.190019,0.0094,269.3914719,10.7090881,0.441429,t17_f5_c3,15.5304,0.0099,False,True,False,24.4.1,0.0,2.664372432615015e+18,13.649592,0.015617954,0.022279946,,,ZTF19aadyxsh
ztf,60391.4537037001,2637453702615015001,2,2637453702615,19.881271,1,2637,0.88489294,15.950914,15.5933,0.126727,0.0112,269.3915997,10.7090618,0.47285715,t17_f5_c3,15.5686,0.0125,True,True,False,23.12.x,0.0,,13.646525,100.0,0.015174473,0.6381751,537120226.0,ZTF19aadyxsh
ztf,60396.43547450006,2642435472615015002,1,2642435472615,19.3231,1,2642,0.231021,17.9055,17.9306,0.092841,0.0945,269.3914323,10.7091687,0.911429,t17_f5_c3,17.9006,0.1168,False,True,True,24.4.1,0.0,2.664372432615015e+18,16.241756,0.008781048,0.020055912,,,ZTF19aadyxsh
ztf,60396.43547450006,2642435472615015003,1,2642435472615,19.3231,1,2642,0.29907,18.1807,18.1197,0.138647,0.1121,269.3914452,10.7091345,0.738571,t17_f5_c3,18.1076,0.1411,False,True,True,24.4.1,0.0,2.664372432615015e+18,16.295584,0.015415508,0.024426635,,,ZTF19aadyxsh
ztf,60396.46565969987,2642465652615015002,2,2642465652615,19.6463,1,2642,0.863636,16.1158,15.7166,0.168017,0.0132,269.3915506,10.7089983,0.472857,t17_f5_c3,15.6561,0.0146,False,True,False,24.4.1,0.0,2.664372432615015e+18,13.664999,0.007023713,0.017580558,,,ZTF19aadyxsh
ztf,60398.469826399814,2644469822615015003,2,2644469822615,19.724998,1,2644,0.89340043,16.010218,15.7111,0.087433934,0.0123,269.3915973,10.7090513,0.53,t17_f5_c3,15.653,0.0135,True,True,False,23.12.x,0.0,,13.653459,100.0,0.009976455,0.8919647,537120226.0,ZTF19aadyxsh
ztf,60398.5052546002,2644505252615015002,1,2644505252615,19.5664,1,2644,0.480437,18.2095,18.0075,0.097228,0.0732,269.3914919,10.709123,0.847143,t17_f5_c3,17.9919,0.0909,False,True,True,24.4.1,0.0,2.664372432615015e+18,16.300602,100.0,0.016758392,,,ZTF19aadyxsh
ztf,60404.428738399874,2650428732615015000,1,2650428732615,20.5334,1,2650,0.515154,18.1949,18.0424,0.133009,0.0433,269.3915008,10.7091101,0.737143,t17_f5_c3,18.0375,0.052,False,True,True,24.4.1,0.0,2.664372432615015e+18,16.29807,0.013293963,0.023181923,,,ZTF19aadyxsh
